"Jahr","Alter","Geschlecht","qx"
1950,2,"F",0.002821
1950,3,"F",0.001864
1950,4,"F",0.001542
1950,5,"F",0.001096
1950,6,"F",0.000811
1950,7,"F",0.000579
1950,8,"F",0.000689
1950,9,"F",0.000552
1950,10,"F",0.000588
1950,11,"F",0.000546
1950,12,"F",0.000465
1950,13,"F",0.000679
1950,14,"F",0.00096
1950,15,"F",0.000709
1950,16,"F",0.001087
1950,17,"F",0.000987
1950,18,"F",0.00107
1950,19,"F",0.001311
1950,20,"F",0.001373
1950,21,"F",0.001388
1950,22,"F",0.001387
1950,23,"F",0.001415
1950,24,"F",0.001553
1950,25,"F",0.001644
1950,26,"F",0.001509
1950,27,"F",0.001497
1950,28,"F",0.001478
1950,29,"F",0.001836
1950,30,"F",0.001904
1950,31,"F",0.001906
1950,32,"F",0.001941
1950,33,"F",0.00219
1950,34,"F",0.001608
1950,35,"F",0.001895
1950,36,"F",0.002132
1950,37,"F",0.002394
1950,38,"F",0.002626
1950,39,"F",0.00247
1950,40,"F",0.002711
1950,41,"F",0.002916
1950,42,"F",0.0034
1950,43,"F",0.003457
1950,44,"F",0.004304
1950,45,"F",0.003659
1950,46,"F",0.004384
1950,47,"F",0.004919
1950,48,"F",0.00589
1950,49,"F",0.005809
1950,50,"F",0.005889
1950,51,"F",0.006861
1950,52,"F",0.006683
1950,53,"F",0.008159
1950,54,"F",0.008852
1950,55,"F",0.009168
1950,56,"F",0.010416
1950,57,"F",0.009631
1950,58,"F",0.011481
1950,59,"F",0.012202
1950,60,"F",0.013567
1950,61,"F",0.015782
1950,62,"F",0.016685
1950,63,"F",0.018481
1950,64,"F",0.019996
1950,65,"F",0.023055
1950,66,"F",0.027569
1950,67,"F",0.0294
1950,68,"F",0.033938
1950,69,"F",0.034239
1950,70,"F",0.039004
1950,71,"F",0.044643
1950,72,"F",0.0484
1950,73,"F",0.053823
1950,74,"F",0.058901
1950,75,"F",0.065695
1950,76,"F",0.074796
1950,77,"F",0.083044
1950,78,"F",0.091472
1950,79,"F",0.097327
1950,80,"F",0.11375
1950,81,"F",0.116438
1950,82,"F",0.1341
1950,83,"F",0.137273
1950,84,"F",0.154602
1950,85,"F",0.173263
1950,86,"F",0.183596
1950,87,"F",0.191925
1950,88,"F",0.214168
1950,89,"F",0.210678
1950,90,"F",0.235584
1950,91,"F",0.24556
1950,92,"F",0.295693
1950,93,"F",0.29361
1950,94,"F",0.315789
1950,95,"F",0.317757
1951,0,"M",0.069378
1951,1,"M",0.0047
1951,2,"M",0.00262
1951,3,"M",0.001946
1951,4,"M",0.001767
1951,5,"M",0.000998
1951,6,"M",0.00105
1951,7,"M",0.000843
1951,8,"M",0.000815
1951,9,"M",0.000865
1951,10,"M",0.000802
1951,11,"M",0.000834
1951,12,"M",0.000689
1951,13,"M",0.000769
1951,14,"M",0.000921
1951,15,"M",0.000846
1951,16,"M",0.00128
1951,17,"M",0.001549
1951,18,"M",0.002071
1951,19,"M",0.002242
1951,20,"M",0.002268
1951,21,"M",0.00265
1951,22,"M",0.002593
1951,23,"M",0.002004
1951,24,"M",0.001636
1951,25,"M",0.002236
1951,26,"M",0.002289
1951,27,"M",0.001851
1951,28,"M",0.00219
1951,29,"M",0.002023
1951,30,"M",0.002544
1951,31,"M",0.002021
1951,32,"M",0.002536
1951,33,"M",0.002114
1951,34,"M",0.002733
1951,35,"M",0.002865
1951,36,"M",0.003281
1951,37,"M",0.002669
1951,38,"M",0.003405
1951,39,"M",0.003596
1951,40,"M",0.003459
1951,41,"M",0.004133
1951,42,"M",0.00494
1951,43,"M",0.004577
1951,44,"M",0.004855
1951,45,"M",0.005876
1951,46,"M",0.006934
1951,47,"M",0.00778
1951,48,"M",0.008229
1951,49,"M",0.008457
1951,50,"M",0.009874
1951,51,"M",0.010637
1951,52,"M",0.012988
1951,53,"M",0.013431
1951,54,"M",0.015274
1951,55,"M",0.015297
1951,56,"M",0.018234
1951,57,"M",0.018678
1951,58,"M",0.018831
1951,59,"M",0.02305
1951,60,"M",0.023492
1951,61,"M",0.025468
1951,62,"M",0.028163
1951,63,"M",0.030189
1951,64,"M",0.032083
1951,65,"M",0.034234
1951,66,"M",0.037688
1951,67,"M",0.044985
1951,68,"M",0.047139
1951,69,"M",0.052385
1951,70,"M",0.056626
1951,71,"M",0.058673
1951,72,"M",0.068406
1951,73,"M",0.072791
1951,74,"M",0.083021
1951,75,"M",0.086564
